aeg [s]	 asukoht [m]	 kiirus [km/h]	 kiirusepiirang [km/h]
303	201.5853676683802	13.67426232906422	10
304	201.96520828863197	11.838281655070617	10
305	202.29404944571726	10.002281655070616	10
306	202.57189060280257	10.000770147198663	10
307	202.84968977355808	9.999878384428229	10
308	203.12746417312553	9.99951074691523	10
309	203.40522836053984	9.99921632753127	10
310	203.68298436963792	9.999415642944175	10
311	203.96074591527525	9.999520662297586	10
312	204.23851037811684	9.999625667458435	10
313	204.51627775776848	9.999693536461283	10
314	204.79404702267018	9.999742967923417	10
315	205.07181766066805	9.99977789713632	10
316	205.34958926892185	9.99979541714412	10
317	205.6273613638425	9.999809153946371	10
318	205.90513384034102	9.99981956590816	10
319	206.1829066060607	9.999824822487437	10
320	206.46067951779645	9.999829039665409	10
321	206.73845254667606	9.999832026199632	10
322	207.01622565851494	9.999833901457917	10
323	207.29399882244434	9.999835334916686	10
324	207.57177202619204	9.99983628284671	10
325	207.8495452562711	9.999836785020456	10
326	208.12731850029945	9.999820865536275	10
327	208.4050913021199	9.999804714770551	10
328	208.68286365530798	9.999788357966615	10
329	208.9606355541404	9.999771820365114	10
330	209.238406993595	9.9997552632342	10
331	209.5161779731293	9.999738692514173	10
332	209.7939484923658	9.999722112567877	10
333	210.07171855104824	9.99970552651769	10
334	210.34948814900707	9.999688936558972	10
335	210.6272572861337	9.99967234417005	10
336	210.90502596236064	9.999655750261367	10
337	211.1827941776457	9.999639155423585	10
338	211.460561931963	9.999622560014435	10
339	211.73832922529675	9.999605964266033	10
340	212.01609605763747	9.999589368324079	10
341	212.2938624289798	9.999572772270525	10
342	212.57162833932065	9.999556176105372	10
343	212.84939378865693	9.999539579828623	10
344	213.1271587769855	9.999522983440274	10
345	213.4049233043033	9.999506386940327	10
346	213.6826873706072	9.99948979032878	10
347	213.9604509758941	9.999473193624972	10
348	214.23821412016147	9.999456596415222	10
349	214.51597680339523	9.99938779014589	10
350	214.79373757534373	9.999318983467681	10
351	215.0714964359956	9.999250176781306	10
352	215.34925338535064	9.999456625313401	10
353	215.6270160693871	9.999653678441462	10
354	215.90478422712158	9.999797524880616	10
355	216.18255638059048	9.999888876068901	10
356	216.4603310715924	9.999954817944165	10
357	216.73810759431308	9.999998257615259	10
358	217.0158853236913	9.99999940256597	10
359	217.29366308487369	9.999999992583955	10
360	217.57144086244546	10.000000047457744	10
361	217.8492186415415	9.99999960655745	10
362	218.12699640839034	9.99999870101237	10
363	218.40477415008513	9.99999736088932	10
364	218.68255185455428	9.999995614014624	10
365	218.96032951049912	9.999993487870823	10
366	219.23810710738442	9.999991009242557	10
367	219.51588463541893	9.999988203439084	10
368	219.79366208551446	9.999985094199769	10
369	220.07143944924223	9.999981703567885	10
370	220.34921671878578	9.999978052140857	10
371	220.6269938869008	9.999974159109918	10
372	220.90477094687608	9.999970042323323	10
373	221.1825478924962	9.9999657185195	10
374	221.4603247180106	9.999961215734258	10
375	221.73810141844768	9.999956548201805	10
376	222.01587798923106	9.99995172913919	10
377	222.2936544261516	9.999946771389647	10
378	222.57143072535686	9.999941687094665	10
379	222.8492068833317	9.999936487483344	10
380	223.1269828968729	9.999931182928153	10
381	223.40475876306536	9.999925782997211	10
382	223.68253447925971	9.99992029650384	10
383	223.9603100430515	9.999914731553563	10
384	224.23808545226132	9.99990909558875	10
385	224.51586070491655	9.999903395424308	10
386	224.7936357992339	9.999897637175103	10
387	225.07141073359986	9.999891826428986	10
388	225.3491855065562	9.999885968277159	10
389	225.62696011678614	9.999880067370311	10
390	225.90473456310198	9.999874143305828	10
391	226.18250884486048	9.999868199002089	10
392	226.46028296149942	9.999862237065265	10
393	226.738056912529	9.999856259816978	10
394	227.0158306975239	9.999850269318799	10
395	227.2936043161161	9.999844267394895	10
396	227.5713777679882	9.999838255657	10
397	227.84915105286757	9.999832235524327	10
398	228.12692417052102	9.999826208242206	10
399	228.40469712074997	9.999820174897945	10
400	228.68246990338602	9.999814136437163	10
401	228.96024251828706	9.999808093680157	10
402	229.23801496533372	9.999802047335317	10
403	229.51578724442638	9.999795998009898	10
404	229.79355935548222	9.99978994621843	10
405	230.07133129843274	9.999783892363762	10
406	230.34910307322062	9.999777836793188	10
407	230.62687467979822	9.999771779804203	10
408	230.90464611812612	9.99976572165102	10
409	231.18241738817198	9.99975966253833	10
410	231.46018848990917	9.999753602629914	10
411	231.73795942331554	9.99974754206659	10
412	232.01573018837294	9.999741480968536	10
413	232.2935007850665	9.999735419437242	10
414	232.5712712133842	9.999729357558163	10
415	232.84904147331636	9.99972329540247	10
416	233.12681156485533	9.999717233028985	10
417	233.40458148799502	9.999711170485895	10
418	233.68235124273073	9.999705107812229	10
419	233.96012082905884	9.999699045026963	10
